PLAN TYPE,PLAN NO,PLAN YEAR,CALENDAR YEAR,Plan,DESCRIPITION OF PLAN,# OF SHEETS,Project on File,LINK TO ELECTRONIC FILES
GH,7,1996,1996,GH-7-1996,CHANDLER PLACE CONDOS - SITE,1,X,GH-7-1996
GH,7,1996,1997,GH-7-1996,CHANDLER PLACE CONDOS,7,X,GH-7-1996
GH,7,2004,2005,GH-7-2004,OAK HOLLOW CONSTRUCTION PLANS,19,X,GH-7-2004
GH,7,2008,9,GH-7-2008,SUMERLYN-PHASE 10,26,X,GH-7-2008
GH,7,1995R,1996,GH-7-1995,RIPLEY STATION REVISION SHEET,1,X,GH-7-1995
GH,7,2010,2/16/2012,GH-7-2010,WATERSTONE @ BRIAR CREEK,62,X,GH-7-2010
GH,7,2011,8/7/2012,GH-7-2011,THE VILLAGE AT TOWN CENTER - PHASE 1,50,X,GH-7-2011
GH,8,1986,1986,GH-8-1986,THE APARTMENTS OF WESTGROVE        (J-525),1,X,GH-8-1986
GH,8,1994,1994,GH-8-1994,TIFFANY BAY CONDOES     ( Q-1599;Q-1605 ;Q-1612 ),9,X,GH-8-1994
GH,8,1995,1996,GH-8-1995,MARSH CREEK APTS,8,X,GH-8-1995
GH,8,1995,1996,GH-8-1995,MARSH CREEK APTS - SITE,1,X,GH-8-1995
GH,8,1996,1996,GH-8-1996,WELLINGTON WOODS PH VIII,8,X,GH-8-1996
GH,8,1997,1998,GH-8-1997,TRINITY COMMONS PH 1 - SITE; UTILITY; ERO; P&P,10,X,GH-8-1997
GH,8,1998,1998,GH-8-1998,MURFIELD VILLAGE - SITE; ERO; UTILITY; ROAD; P&P,15,X,GH-8-1998
GH,8,2002,2002,GH-8-2002,VILLAGE GREEN APTS - STE; STRM; WTR; SS; P&P,9,X,GH-8-2002
GH,8,2003,2004,GH-8-2003,VILLAGE OF NEW HOPE APARTMENTS,12,X,GH-8-2003
GH,8,2004,2005,GH-8-2004,AUTUMN TRACE APARTMENTS ,16,X,GH-8-2004
GH,8,2006,2007,GH-8-2006,JOB'S JOURNEY PH 1,6,X,GH-8-2006
GH,8,1997A,2001,GH-8-1997,TRINITY COMMONS PH 2 - STE; GR; DR; UTE; DTL,5,X,GH-8-1997
GH,8,2004R,2006,GH-8-2004,AUTUMN TRACE APARTMENTS ,17,X,GH-8-2004
GH,8,2012,2012,GH-8-2012,CRABTREE VILLAGE PHASE 1 ; REVISED MARCH - 2013,40,X,GH-8-2012
GH,9,1986,Jun-86,GH-9-1986,CALIBERSQUARE     (L-757),1,X,GH-9-1986
GH,9,1993,Sep-93,GH-9-1993,WATERFORD POINTS   (L-1341),1,X,GH-9-1993
GH,9,1995,1996,GH-9-1995,HOMESTEAD VILLAGE APT,14,X,GH-9-1995
GH,9,1995,1996,GH-9-1995,HOMESTEAD VILLAGE (WAKE FOREST RD) - SITE,1,X,GH-9-1995
GH,9,1996,1996,GH-9-1996,HOMESTEAD VILLAGE (US 70),15,X,GH-9-1996
GH,9,1996,1997,GH-9-1996,HOMESTEAD VILLAGE SITE PLAN - MASTER,13,X,GH-9-1996
GH,9,2003,2004,GH-9-2003,GATEWAY PARK WATER & SANITARY SEWER,6,X,GH-9-2003
GH,9,2006,2007,GH-9-2006,CENTERVIEW I,22,X,GH-9-2006
GH,10,1987,Jul-87,GH-10-1987,JEFFERIES RIDGE       (T-703),1,X,GH-10-1987
GH,10,1995,1996,GH-10-1995,MELROSE APTS - SITE PLAN,1,X,GH-10-1995
GH,10,1995,1996,GH-10-1995,MELROSE APTS - SITE  ,1,X,GH-10-1995
GH,10,1996,1998,GH-10-1996,CSX PROPERTY - NORTH RIDGE CROSSING APARTMENTS - SITE; STORM; UTIL; P&P,12,X,GH-10-1996
GH,10,1998,1999,GH-10-1998,THISTLEDOWN DRIVE APARTMENTS - SITE; RDS; UTE; ERO; P&P,16,X,GH-10-1998
GH,10,2002,2002,GH-10-2002,HERNDON PT APTS - STE; LYT; GR; ERO; UTE; L/S; SS P&P,10,X,GH-10-2002
GH,10,2006,2007,GH-10-2006,BLUE RIDGE APTS,8,X,GH-10-2006
GH,10,1995RR,1996,GH-10-1995,MELROSE APTS,8,X,GH-10-1995
GH,10,1998R,1999,GH-10-1998,THISTLEDOWN DRIVE APARTMENTS - REVISION,16,X,GH-10-1998
GH,10,1999R,1999,GH-10-1999,BRAEBOURNE APARTMENTS - STE; UTE; P&P,16,X,GH-10-1999
GH,11,1994,Apr-94,GH-11-1994,ROSWELL PLACE     (Q-1516),1,X,GH-11-1994
GH,11,1996,1996,GH-11-1996,UNIVERSITY COMMONS @ LAKE PARK - SITE,1,X,GH-11-1996
GH,11,1996,1997,GH-11-1996,UNIVERSITY COMMONS LAKE & PARK - PH 2,12,X,GH-11-1996
GH,11,1996,1998,GH-11-1996,UNIVERISTY COMMONS LAKE PARK PH 3,11,X,GH-11-1996
GH,11,1998,1999,GH-11-1998,SUNNYBROOK VILLAGE PH 1 - WATER & SEWER ONLY,1,X,GH-11-1998
GH,11,2002,2002,GH-11-2002,CENTENNIAL VILLAGE APTS - STE; UTE; STRM; GR; ERO; P&P; L/S,13,X,GH-11-2002
GH,11,2002,2003,GH-11-2002,CENTENNIAL VILLAGE GRADING; DRAINAGE,2,X,GH-11-2002
GH,11,2006,2006,GH-11-2006,THE COTTAGES AT BRIER CREEK,31,X,GH-11-2006
GH,11,1996R,1996,GH-11-1996,LAKE PARK CONDOS,13,X,GH-11-1996
GH,12,1994,Jun-94,GH-12-1994,ORCHARD POINTE APARTMENTS       (Y-527),1,X,GH-12-1994
GH,12,1995,1996,GH-12-1995,UMSTEAD VILLAGE - SITE,1,X,GH-12-1995
,12,1996,9/26/1996,GH-12-1996,UMSTEAD VILLAGE - SITE,1,X,GH-12-1996
GH,12,1999,1999,GH-12-1999,STRICKLAND FARMS - SITE; UTE; STORM; P&P RD,29,X,GH-12-1999
GH,12,2001,2001,GH-12-2001,AVERA PLACE - STE; GR; DR; ERO; UTE; P&P,33,X,GH-12-2001
GH,12,2005,2006,GH-12-2005,ALEXAN BRIER CREEK VILLAGE CENTER,20,X,GH-12-2005
GH,12,2006,2007,GH-12-2006,WAKEFIELD HILLS CONGREGATE CARE & APARTMENT UNITS,19,X,GH-12-2006
GH,12,2005R,2006,GH-12-2005,ALEXAN BRIER CREEK; BRIER CREEK VILLAGE CENTER LOT 17 - REV.,1,X,GH-12-2005
GH,13,1986,Dec-86,GH-13-1986,EDWARDS MILL VALLEY APARTMENTS (K-667)S.S.EAS'MT. (K-727),1,X,GH-13-1986
GH,13,1994,Nov-95,GH-13-1994,DEVONSHIRE APARTMENTS   (Q-1613),1,X,GH-13-1994
GH,13,1998,1999,GH-13-1998,UNIVERSITY GLEN CONDOS - SITE; ERO; UTILITY,5,X,GH-13-1998
GH,13,2000,2000,GH-13-2000,ALEXAN RIVERSIDE - STE; P&P; RDS; GR; ERO; STR; UTE,18,X,GH-13-2000
GH,13,2006,2007,GH-13-2006,CENTERVIEW II,34,X,GH-13-2006
GH,13,2005R,2006,GH-13-2005,MELLOW FIELD APARTMENTS - REV.,13,X,GH-13-2005
GH,13,2005RR,2006,GH-13-2005,MELLOW FIELD APARTMENTS - REV.,1,X,GH-13-2005
GH,14,1985,Aug-94,GH-14-1985,HUNTINGTON HILLS ; LIMITED         (L-775),1,X,GH-14-1985
GH,14,1986,Sep-87,GH-14-1986,LINPRO N.C. APARTMENTS I ; LIMITED    (L-866),1,X,GH-14-1986
GH,14,1987,Sep-87,GH-14-1987,CALIBRE CHASE APARTMENTS  (P-819 ;P-820),2,X,GH-14-1987
GH,14,2002,2003,GH-14-2002,AUSTON GROVE AT ROGERS FARM ,14,X,GH-14-2002
GH,14,2002R,2005,GH-14-2002,AUSTON GROVE AT ROGERS FARM DRIVEWAY REVISION,2,X,GH-14-2002
GH,15,1994,Nov-94,GH-15-1994,MARSH RIDGE PARK    (S-1253),1,X,GH-15-1994
GH,15,2002,2003,GH-15-2002,PERRY CREEK COMMONS II,8,X,GH-15-2002
GH,15,2006,8-Mar,GH-15-2006,"BRIER CREEK COUNTRY CLUB CONSTR. PLANS; LAND BAY ""U2""",20,X,GH-15-2006
GH,16,2002,2003,GH-16-2002,ROYAL PINES APTS,11,X,GH-16-2002
GH,17,2002,2003,GH-17-2002,WINDSOR SPRINGS  STE GR DR ERO UTE LS,9,X,GH-17-2002
GH,18,1987,Jan-87,GH-18-1987,BRIDGE CROSSING APARTMENTS     (Q-1112),1,X,GH-18-1987
GH,19,2002,2003,GH-19-2002,CLIFFS @ GROVE BARTON APTS,14,X,GH-19-2002
GH,20,2002,2003,GH-20-2002,OAKS @ BRIAR CREEK,13,X,GH-20-2002
GH,20,2002A,2003,GH-20-2002,BRIER CREEK - GLOBE RD. WIDENING - PH1,14,X,GH-20-2002
GH,20,2002AR,2003,GH-20-2002,BRIER CREEK - GLOBE RD WIDENING - PH1 S/W REVISION,12,X,GH-20-2002
GH,21,2002,2003,GH-21-2002,BRENTMOOR APTS,5,X,GH-21-2002
GH,23,2002,2003,GH-23-2002,HODGES CREEK APTS SP LAY UTL SEW LS ERO,11,X,GH-23-2002
GH,24,2002,2003,GH-24-2002,HOLLENDEN PLACE,12,X,GH-24-2002
GH,24,2002A,2005,GH-24-2002,HOLLENDEN PLACE SUBDIVISION PLANS SITE PLAN,4,X,GH-24-2002
GH,24,2002R,2003,GH-24-2002,HOLLENDEN PLACE,2,X,GH-24-2002
GH,26,1986,May-86,GH-26-1986,PROPOSED APARTMENTS FOR CLIFTON WINSTON                          (V-380),1,X,GH-26-1986
GH,28,1999,2000,GH-28-1999,INMAN PARK APTS - SS E; COR EASEMENT,3,X,GH-28-1999
GH,28,1999RR ,2000,GH-28-1999,INMAN PARK APTS - STE; UTE; DR; ERO; P&P; RD,16,X,GH-28-1999
GH,29,1999,2000,GH-29-1999,ALTA RIVER APTS - STE; UTE; RDS; P&P,25,X,GH-29-1999
GH,29,1999,2001,GH-29-1999,AUTUMN RIVER APARTMENTS - SS; SLOPE,1,X,GH-29-1999
GH,29,1999R,2000,GH-29-1999,ALTA RIVER APTS REVISION PAVEMENT DESGN C&G,2,X,GH-29-1999
GH,31,1999,1999,GH-31-1999,FAIRWAY OAKS APTS/CLUB HOUSE - STE; ERO; UTE; P&P,17,X,GH-31-1999
GH,31,1999A,2000,GH-31-1999,THE LINKS APTS & CLUB HOUSE (FRMLY FAIRWAY OAKS) - STE; STR; ERO; UTE; L/S; P&P,19,X,GH-31-1999
GH,36,1999R,2000,GH-36-1999,BENTLY RIDGE IV - STE; TE; DR & ERO; PDS; P&P,20,X,GH-36-1999
GH,36,1999RR,2000,GH-36-1999,BENTLEY RIDGE PH 4 - REVISION - WATER & SEWER; GR; DR; ERO; SS; P&P; RDS; SGNING & STR,18,X,GH-36-1999
GH,36,1999RRR,2001,GH-36-1999,BENTLY RIDGE IV - SS,3,X,GH-36-1999
GH,40,1999,1999,GH-40-1999,NORTH STONE APTS - STE; UTE; P&P                                  ,14,X,GH-40-1999
GH,42,2000,2001,GH-42-2000,CASWYCK BRIER CREEK - STE; GR; ERO; P&P; DTLS,17,X,GH-42-2000
GH,42,2000A,2001,GH-42-2000,CASWYCK BRIER CREEK - STE; GR; ERO; UTE; P&P,16,X,GH-42-2000
GH,42,2000R,2005,GH-42-2000,CASWYCK; BRIER CREEK PHASE 1 & 2,9,X,GH-42-2000
GH,46,1999,2000,GH-46-1999,SUMMIT OVERLOOK APTS - STE; UTE; STRM; STREETS; P&P,20,X,GH-46-1999
GH,54,2000,2001,GH-54-2000,MAGNOLIA GLEN APTS - STE; GR; ERO; SWR; UTE; ,13,X,GH-54-2000
GH,70,1999,2000,GH-70-1999,DILLARD RD APTS - STE; UTE; STR; ERO; RDS; P&P,32,X,GH-70-1999
GH,72,1999,2000,GH-72-1999,UNIVERSITY WOODS @ CENTRNNIAL / TRAILWOOD - STE; UTE; ERO,7,X,GH-72-1999
GH,75,1999,2000,GH-75-1999,UNIV MEADOW APTS - STE; UTE,7,X,GH-75-1999
GH,76,1999,2001,GH-76-1999,WOLF CREEK OF RALEIGH - NEUSE RIVER BUFFER,45,X,GH-76-1999
GH,77,1999,2000,GH-77-1999,RIVER HAVEN APTS - STE; LAYOUT; STR; UTE; RDS; L/S,12,X,GH-77-1999
GH,79,1999R,2003,GH-79-1999,WOLF CREEK - REVISED SET                                               ,45,X,GH-79-1999
GH,84,1999,2000,GH-84-1999,TRINITY RIDGE - STE; UTE; ERO; STRM; SS; P&P,29,X,GH-84-1999
GH,85,1995,1996,GH-85-1995,PINEHALL PLANTATION PH 1                                                 ,15,X,GH-85-1995
GH,2,2013,13-Jul,GH-2-2013,LOCH RAVEN POINTE,24,X,GH-2-2013
GH,4,2012,8/15/2013,GH-4-2012,JONES GRANT APTS. ; SAN. SEWER EXTENTION,6,X,GH-4-2012
GH,2,2010,10/12/2013,GH-2-2010,LOCH RAVEN POINTE APARTMENTS - REVISED,2,X,GH-2-2010
GH,5,2012,11/22/2013,GH-5-2012,CRABTREE COMMONS ;CONSTRUCTION PLANS,23,X,GH-5-2012
GH,7,2012,12/12/2013,GH-7-2012,BACARRA ; APARTMENT DEVELOPMENT 6300 WESTERN BLVD,55,X,GH-7-2012
GH,9,2012,11/24/2013,GH-9-2012,MAYSTONE AT WAKEFIELD ; 14001 NEW FALLS OF NEUSE RD,46,X,GH-9-2012
GH,7,2011,,,,,,
MS,1,1988,Nov-87,MS-1-1988,DIVISION OF LT.125 KENTWOOD;1328 KENT RD.  (J-542),1,X,MS-1-1988
MS,1,1996,Nov-95,MS-1-1996,CARDINAL CLINIC CHALLENGES DAY CARE,1,X,MS-1-1996
MS,1,1997,Jun-96,MS-1-1997,SUB'D.OF LOT 2;FOREST ACRES SUBDIVISION,1,X,MS-1-1997
MS,2,1988,Sep-87,MS-2-1988,PROPERTY OF J.A.RIGNEY AND WIFE (N-150),1,X,MS-2-1988
MS,2,1990,Dec-89,MS-2-1990,RECOMB.OF PROP.OF J.E.&MAE PILAND/HIGHLAND GARDENS,1,X,MS-2-1990
MS,2,1991,Feb-86,MS-2-1991,R/W DEDICATION OF TRACT A;THE NELSON CO. (Q-1287),1,X,MS-2-1991
MS,2,1992,Dec-91,MS-2-1992,ADDITIONAL R/W DEDI.; LT.7&LT.68;METHOD SUB'D.(J-597),1,X,MS-2-1992
MS,2,1994,Feb-94,MS-2-1994,R/W DED./PROP.OFL.C.ALLEN;JR&R.A.THOMPSON (S-1165),1,X,MS-2-1994
MS,2,1996,Sep-95,MS-2-1996,SUB'D.OF CARALEIGH MILLS PROPERTY LT'S.22A &22B,1,X,MS-2-1996
MS,2,1997,Oct-96,MS-2-1997,SUB'D.LT'S 21;22&23;BLK.D;SECT.V/COLEY FOREST NORTH,1,X,MS-2-1997
MS,3,1990,Jun-92,MS-3-1990,RECOMB.OF LT'S.1;2&3;COUNTRY CLUB HILLS  (M-903),1,X,MS-3-1990
MS,3,1991,Nov-90,MS-3-1991,R/W DEDICATION MAP FOR ATLANTIC AVENUE (Q-1285),1,X,MS-3-1991
MS,3,1992,Jan-92,MS-3-1992,PROP.OF P.S.A.STUBBS (A-161)/PROP.OF J.W.BECKMAN,2,X,MS-3-1992
MS,3,1995,1995,MS-3-1995,MARK SPANO UTILITY IMPROVEMENTS,1,X,MS-3-1995
MS,3,1995,Jan-95,MS-3-1995,SUB'D.PLAT;MEINEKE MUFFLER/ABC LT.1&2,1,X,MS-3-1995
MS,3,1996,Nov-95,MS-3-1996,RECOMB.LT'S.24&25-RIDGECREST SUB'D.,1,X,MS-3-1996
MS,3,1997,Nov-97,MS-3-1997,SUBDIVISION MAP OF ROBBIE J.JONES PROPERTY,1,X,MS-3-1997
MS,4,1991,Nov-90,MS-4-1991,R/W DED. MAP OF LT.10;NORTH RAL.INDUST.DVELOP.(Q-1288),1,X,MS-4-1991
MS,4,1993,Jan-92,MS-4-1993,SUB'D.;SURV.FOR E.H.EDWARDS/BOULEVARD PARK (J-610),1,X,MS-4-1993
MS,4,1994,Feb-94,MS-4-1994,R/W DED.STRICKLAND RD.;PROP.OF CHRIST SANC.HOLY CH. ,1,X,MS-4-1994
MS,5,1990,Mar-89,MS-5-1990,MAP FOR R/W DED.& GREENWAY;PROP.OF JEDAHOLU ENT.,1,X,MS-5-1990
MS,5,1991,Apr-91,MS-5-1991,SUB'D.OF LT.12A;ADDITIONS TO NORTH HILLS (M-906),1,X,MS-5-1991
MS,5,1992,Aug-92,MS-5-1992,R/W & EAS'MTS. YORK FAMILY PROPERTY /YONKERS RD.,1,X,MS-5-1992
MS,5,1993,May-92,MS-5-1993,MINOR SUB'D.SURVEY FOR WILLIAM T.BARKER  (J-603),1,X,MS-5-1993
MS,5,1995,Jan-95,MS-5-1995,MINOR SUB'D.LOTS 5;6;&10; HEMSBURY WAY,1,X,MS-5-1995
MS,6,1990,May-91,MS-6-1990,SUB'D.OF R.G.& CJ.RHODES &R.&E WILLIAMS  (P-885),1,X,MS-6-1990
MS,6,1992,Jun-92,MS-6-1992,SUB'D.OF LT.7;BEACON PLAZA INTO LT'S. 7A & 7B (S-1076),1,X,MS-6-1992
MS,6,1994,Mar-94,MS-6-1994,MINOR SUB'D. PLAT -SUBURBAN PARK  (P-941),1,X,MS-6-1994
MS,6,1995,Jan-95,MS-6-1995,R/W DEDICATION / LONGVEIW BAPTIST CHURCH,1,X,MS-6-1995
MS,6,1996,Jan-96,MS-6-1996,PROP.OF DELORES & HAL HINTON ;301 MLK BLVD.,1,X,MS-6-1996
MS,7,1988,Feb-88,MS-7-1988,RECOMB.&SUB'D.PROP.OF JOE WEBB/1600 BLK.EVERGREEN,1,X,MS-7-1988
MS,7,1989,May-89,MS-7-1989,PROP.OF EASTPARK;LT'S.32&32A /POOLE RD.  (T-728),1,X,MS-7-1989
MS,7,1991,Feb-91,MS-7-1991,PROP. OF P.Z.PROPERTIES / 1008 PARKER ST. (F-136),1,X,MS-7-1991
MS,7,1992,Jan-92,MS-7-1992,STONEHENGE 16A;LOTS 1137 & 1138  (M-921),1,X,MS-7-1992
MS,7,1993,Feb-93,MS-7-1993,SUB'D.OF LT'S.41&42 PROP.OF MARY G. JOHNSON (Y-496),1,X,MS-7-1993
MS,8,1990,Jun-90,MS-8-1990,SUB'D.OF OXFORD PARK ; PHASE 4    (R-143),1,X,MS-8-1990
MS,8,1991,Jul-91,MS-8-1991,PROP.SURV.FOR C.O.RALEIGH/500 BLK.OF E.CABARRUS ST.,1,X,MS-8-1991
MS,8,1992,Mar-88,MS-8-1992,MINOR SUB'D.;NORTH RIDGE ESTATES; PHASE 4B (Q-1353),1,X,MS-8-1992
MS,8,1993,May-93,MS-8-1993,SUB'D.OF LOT 586; WOODS OF STONEHENGE  (L-1198),1,X,MS-8-1993
MS,8,1994,Mar-94,MS-8-1994,RECOMB.OFO.ARNOLD PROP& LOT 15;SUMMER HAVEN SUB'D.   ,1,X,MS-8-1994
MS,8,1995,Mar-95,MS-8-1995,SUB'D. OF LT'S.66A & 66B ;LAUREL HILLS WEST,1,X,MS-8-1995
MS,8,1996,1996,MS-8-1996,DAMY INC WATER/SEWER EXTN,1,X,MS-8-1996
MS,8,1996,1996,MS-8-1996,BASHFORD ROAD,1,X,MS-8-1996
MS,8,1997,Sep-97,MS-8-1997,PROP.OF J.L.BAUTEL& B.D.WILLIAMS/ 9600 BLK.;FONVILLE RD.,1,X,MS-8-1997
MS,9,1989,Jan-89,MS-9-1989,TWO LT.SUB'D.PROP.OFA.R.WALL;JR./6700BLK.CAPITAL BLVD.,1,X,MS-9-1989
MS,9,1990,Feb-90,MS-9-1990,SUB'D.PLAT PROP.OFDONALD McLEAN;JR./TEMPLE DR.(M-892),1,X,MS-9-1990
MS,9,1993,Jun-94,MS-9-1993,MINOR SUB'D.NORTH BLVD.NORTH INDUST.CENTER (Q-1482),1,X,MS-9-1993
MS,9,1994,May-94,MS-9-1994,RECOMB./SUB'D.PROP.OF THAD EURE ESTATE   (C-311),1,X,MS-9-1994
MS,9,1995,1995,MS-9-1995,EDGEMONT DR SAN SWR,1,X,MS-9-1995
MS,10,1990,Nov-88,MS-10-1988,UMSTEAD RIDGE SUB'D. (L-1026;L-1042),2,X,MS-10-1988
MS,10,1989,Feb-88,MS-10-1989,MINOR SUB'D.OF LOT 49 OF THE M.G.JOHNSON SUB'D.(Y-434),1,X,MS-10-1989
MS,10,1992,Oct-92,MS-10-1992,LOT 3 BERYL;O'KELLY;BROOKS PROP.INTO LT'S.3A;3B&3C,1,X,MS-10-1992
MS,10,1995,Jan-95,MS-10-1995,LOTS 2A&2B;DIV.OFLT.2;WNH JONES SUB'D./310BELVIN RD.,1,X,MS-10-1995
MS,10,1996,Dec-94,MS-10-1996,SUB'D.OF LOT 107A; COUNTRY CLUB HILLS/FORSYTH ST.,1,X,MS-10-1996
MS,11,1989,Feb-89,MS-11-1989,SUB'D.LT.9;BLK.32;NORTH RIDGE;ADDIT.TO HAYMARKET VILL.,1,X,MS-11-1989
MS,11,1990,Apr-90,MS-11-1990,LT.6;MASOTA SUB'D.(L-1024)/MAPOF R/W DED.;4412H.SPRINGS,2,X,MS-11-1990
MS,11,1991,Mar-91,MS-11-1991,PROP. OF E.M.THOMPSON ;2102 BUCKINGHAM RD. (L-1099),1,X,MS-11-1991
MS,11,1994,Mar-94,MS-11-1994,SURV.FOR JOE JACOBS;439 ROSE LN.;ROSEMONT GARDEN S.,1,X,MS-11-1994
MS,11,1995,Jun-95,MS-11-1995,SUB'D.OF LOT 5 INTO LT'S;5A&5B;LEWIS FARM RD. EXTEN.,1,X,MS-11-1995
MS,11,1996,May-96,MS-11-1996,SUB'D.OF LOT 72; GEORGETOWN SUB'D.;CARSON ST.,1,X,MS-11-1996
MS,12,1989,Aug-86,MS-12-1989,SUB'D. OFINDIA WHITE PROP.;6700 BLK.;SIX FORKS (P-840),1,X,MS-12-1989
MS,12,1995,Apr-95,MS-12-1995,JIMMIE E. WALL SUBDIVISION;700 BLK.;PURDUE ST.,1,X,MS-12-1995
MS,12,1997,1997,MS-12-1997,FARMINGTON WOODS - PH IV P&B,3,X,MS-12-1997
MS,13,1988,Dec-89,MS-13-1988,SUB'D.SURVEY FOR FREDERICK & FLORENCE DUNN (P-851),1,X,MS-13-1988
MS,13,1989,Feb-89,MS-13-1989,SUB'D.PARCEL 8;MAP495;WAKE CO.BOARD OF ABC (S-990),1,X,MS-13-1989
MS,13,1991,Apr-91,MS-13-1991,R/W DED.PROP.OF ALPHA KAPPA ALPHA SOR.; OLD GARNER,1,X,MS-13-1991
MS,13,1992,Nov-92,MS-13-1992,RECOMB.TO LT'S.20AR;20BR &20CR;HILLSIDE PARK (L-1161),1,X,MS-13-1992
MS,13,1993,Apr-93,MS-13-1993,HOLLEY RIDGE FARM TRACT;PROP. EVANS TAYLOR (S-1126),1,X,MS-13-1993
MS,13,1995,,MS-13-1995,SPANO SUBDIVISION,3,X,MS-13-1995
MS,13,1997,May-97,MS-13-1997,MINOR SUB'D.LT.30;BIRCHWOOD HILLS EST.;SECT.2;N.HILLS D,1,X,MS-13-1997
MS,14,1988,Jun-88,MS-14-1988,MIDDLETON PLACE;LOTS 11&12;2500BLK.CATALINA DR.(K-712),1,X,MS-14-1988
MS,14,1989,Apr-89,MS-14-1989,R/W PLAT FOR C.O.RALEIGH ;LINCOLNVILLE RD.(J-563A-C),3,X,MS-14-1989
MS,14,1991,Apr-91,MS-14-1991,R/W DEDICATION ;LOT 7A;LEWIS FARM RD. (N-157),1,X,MS-14-1991
MS,14,1992,Jul-92,MS-14-1992,BANKS SUBD.;3351 ALAMANCE DR. (M-931),1,X,MS-14-1992
MS,14,1996,1996,MS-14-1996,SCOTLAND ST ROADWAY IMP,1,X,MS-14-1996
MS,15,1989,Jun-89,MS-15-1989,MITCHELL BLDG.& REALTY CO.SUB'D.3100 BELVIN RD (Q-1346),1,X,MS-15-1989
MS,15,1990,Apr-90,MS-15-1990,RECOMB.LTS.1A & 1B ;300 BLK. OF OAKWOOD AVE.(D-176),1,X,MS-15-1990
MS,15,1991,Apr-91,MS-15-1991,SUB'D.OF LT 84;NORTH FOREST SUB'D.;SPRAGUE RD.(L-1158),1,X,MS-15-1991
MS,15,1993,Jun-93,MS-15-1993,SURV.FOR R.HODGE ;1400 BLK.;SAWYER RD. (V-462),1,X,MS-15-1993
MS,15,1994,Jun-94,MS-15-1994,PROP.OF PENN-DAVIS COATINGS;INC.3401 JONES SAUSAGE,1,X,MS-15-1994
MS,15,1995,Jun-95,MS-15-1995,MINOR SUB'D.FOR AUTO ALIGNMENT;2800BLK.CAPITAL BLVD.,1,X,MS-15-1995
MS,15,1996,Aug-96,MS-15-1996,RECOMB.&SUB'D.OF PEMBERTON;PH.2;LT'S. 86-91,1,X,MS-15-1996
MS,16,1988,Aug-88,MS-16-1988,SUB'D.OF PROP.OF CLARK & DIANNE SMITH  (M-841),1,X,MS-16-1988
MS,16,1989,Apr-89,MS-16-1989,ROYLENE ACRES;SUB'D.PROP.AT 5301 BARCLAY DR. (J-561),1,X,MS-16-1989
MS,16,1990,Sep-90,MS-16-1990,SURV.OF CANADA SUB'D.;6200 BLK. LEADMINE RD. (L-1046),1,X,MS-16-1990
MS,16,1991,May-91,MS-16-1991,DED.OF 5'R/W TO FLEETWOOD DR.;LOT F;WESTBOROUGH CTR.,1,X,MS-16-1991
MS,16,1994,Jun-94,MS-16-1994,SUB'D.OF LT.12;BLK.23;NORTH RIDGE;HAYMARKET VILLAGE,1,X,MS-16-1994
MS,16,1997,Nov-95,MS-16-1997,SUB'D.LT'S 17 & 241INTO LT'S.1A ;2A & 3A;MORDECAI PLACE,1,X,MS-16-1997
MS,17,1988,Jul-89,MS-17-1988,RECOMB.OF LT17&FORM.R/W INTO LT'S.17A&17B;STARMOUNT,1,X,MS-17-1988
MS,17,1989,3//1989,MS-17-1989,R/W DEDICATION MAP FOR SIX FORKS RD.    (M-860),1,X,MS-17-1989
MS,17,1990,May-90,MS-17-1990,R/W DED.;TRACT A OFPROP.OFJ.F.&JUDITH MATTHEWS(S-969),1,X,MS-17-1990
MS,17,1992,Jul-92,MS-17-1992,BOUNDARY SURV. & R/W DED.; 409 SNELLING RD. ( M-930),1,X,MS-17-1992
MS,17,1993,Jan-93,MS-17-1993,DIVISION FOR W.E.;III & D.C.AVERY;SUNNYBROOK RD. (T-847),1,X,MS-17-1993
MS,17,1994,Jul-94,MS-17-1994,GOLF COARSE DR. SUB'D.HABITAT FOR HUMANITY (T-881),1,X,MS-17-1994
MS,18,1993,May-93,MS-18-1993,RECOMB. OF LT'S.6;7;8&9 OF W.B.& MADYS AUSTIN (J-605),1,X,MS-18-1993
MS,18,1994,Jun-94,MS-18-1994,SUB'D.MAP OF LOT 614;BLOOMSBURY;PART#6TO LTS.614A&B,1,X,MS-18-1994
MS,18,1995,Jun-96,MS-18-1995,PROPOSED STREET EXTENSION OF ROCKWOOD DRIVE,1,X,MS-18-1995
MS,18,1996,May-97,MS-18-1996,SUB'D. OF GULF OIL CORP.;TRACT #2-DAVID BARNES;OWNER,1,X,MS-18-1996
MS,18,1997,Dec-97,MS-18-1997,SUB'D. LOT 10;BLK.10; LAUREL HILLS ;4219 ARBUTUS DR.,1,X,MS-18-1997
MS,19,1990,Jun-96,MS-19-1990,R/W DED.MAP FOR PATRICIA T.GESSNER;KIRKLAND RD.(Y-465,1,X,MS-19-1990
MS,19,1991,Jun-91,MS-19-1991,SURV.FOR O.A.&E.R.ELMORE;1622 SUNRISE AVE. (R-144),1,X,MS-19-1991
MS,19,1992,Sep-95,MS-19-1992,WORTH FAMILY SUB'D. 2300 BLK. OF WOODROW DR.(M-1003),1,X,MS-19-1992
